timestamp,dataset,seed,best_epoch,S,U,H,batch_size,lr,syn_num,ins_weight,cls_weight,ins_temp,cls_temp
2026-03-13 16:13:26,CUB,3483,1,0.41261460162930763,0.0007333333333333333,0.0014640646080507148,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,2,0.41261962003138475,0.0016666666666666666,0.0033199233901758263,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,11,0.5376237509766921,0.0023389830508474575,0.004657702326558638,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,12,0.5435736964560494,0.0036471591514763884,0.007245702575902569,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,14,0.5343683310153899,0.004171623494296983,0.008278618756528938,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,15,0.5034529136440904,0.006055324592260953,0.011966718416907383,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,17,0.5311035168535173,0.010525039974416372,0.02064103037023656,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,18,0.51811442043795,0.021073641145528933,0.04049999674164748,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,19,0.5288607732137146,0.02692227602905569,0.05123630789675314,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,20,0.5336800895183247,0.04781807909604519,0.08777175272411028,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,21,0.5232362022509082,0.052655884995507635,0.09568273605892114,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,22,0.5193088578088578,0.053556801742123135,0.09709962912560408,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,23,0.5041748023218614,0.06563333443607584,0.11614672125712572,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,24,0.4747261311673075,0.07032520118487058,0.12250299632506806,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,25,0.4687439167586225,0.09631716844076933,0.15979895968272137,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,26,0.5025452885894062,0.10453894687039048,0.17307501053465282,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,27,0.493640116419528,0.12579057890306525,0.20049143990789917,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,29,0.46673432232255757,0.15613875746123465,0.2339973247110039,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,31,0.49404710213533737,0.1746462525395898,0.25806589631184756,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,34,0.41204919426978254,0.19274788732912082,0.262638872069951,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,35,0.45695223186399675,0.18649638484243647,0.2648849871634705,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,38,0.41310883560883566,0.1991739079041958,0.26876635688234973,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,39,0.4489488137135198,0.26238727697688924,0.3312033742529843,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,44,0.4228000256823786,0.2807596551671627,0.3374417057893847,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,45,0.3629775045216223,0.31699165197656093,0.3384295822510476,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,47,0.3768593242269714,0.334395437849169,0.35435977501105154,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,48,0.38567198052492185,0.33784492105676334,0.3601776807961333,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,49,0.3877843877255644,0.33780248468894525,0.3610719396324555,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,50,0.3695148892501835,0.4043396552511811,0.38614368550583367,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,51,0.6015216918158097,0.2908230196450954,0.39208245994869545,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,55,0.6648765297882944,0.2955172008929063,0.40917062397536086,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,56,0.5806291796438855,0.34245969533849724,0.43081895439219015,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,57,0.5912834186510658,0.344290830905987,0.43518397306187034,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,59,0.5694605791811674,0.3721448421844174,0.450128711158604,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,60,0.5658409771056832,0.39630917786344155,0.4661392429862381,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,61,0.580707287810229,0.4054714884871055,0.47752041318060545,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,63,0.5578527855586684,0.4232445119392883,0.48131440288315097,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,64,0.5636518835195307,0.4375084979964219,0.4926333352865594,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,66,0.5724796940532236,0.4354622449317166,0.49465804151634524,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,68,0.5400967398614459,0.46696634797407827,0.5008762712331607,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,69,0.6223547928106755,0.4378438556499537,0.5140437076808316,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,72,0.6274447072535306,0.4483648189428059,0.5229998911777792,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,73,0.5438651403063169,0.5040321210517223,0.5231915576903563,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,74,0.6277586933763403,0.46023295241455975,0.5310982634365295,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,76,0.6305234068763482,0.4667335693727444,0.5364038627860208,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,81,0.5601642611201436,0.522068965779799,0.5404461241825029,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,90,0.5598397288985525,0.5245158454123022,0.5416024331045464,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,96,0.5580850837615546,0.5328185152044563,0.5451591982452537,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,98,0.546472010016128,0.5456325554272523,0.5460519600950713,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,102,0.5660864097775862,0.534077682591844,0.5496164071845162,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,105,0.5628139861228099,0.5531232031729578,0.5579265173360592,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,111,0.626866318866319,0.5134288751553686,0.5645051748980702,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,115,0.5646579177902711,0.5720843091816967,0.5683468550007311,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,117,0.6573121143562319,0.5068817069719058,0.5723780360869825,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,119,0.648998488439665,0.5184439114172184,0.5764212690780632,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,132,0.6548243330743331,0.5244091379021532,0.5824052190453991,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,133,0.6410784139607667,0.5366143842784623,0.5842133006096376,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,135,0.6490748826337063,0.5373544120990811,0.5879545515512068,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,136,0.5759896617543676,0.6073388506167219,0.591248998870246,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,157,0.6277875485081365,0.559290010885644,0.5915625344957169,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,161,0.6343736475942356,0.5584945852191545,0.5940207601161424,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,169,0.6436874884374882,0.5600367273122542,0.5989555243961662,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,176,0.6481864061864061,0.556786772235884,0.599020166374569,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,185,0.6361825054030942,0.5790933524055277,0.606297010556827,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,189,0.6396558256558258,0.5813356500378345,0.6091029177691221,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,201,0.6386247788159551,0.5871640027032946,0.6118141836643881,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,212,0.6411067831950185,0.5923177992620027,0.6157473498015794,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,223,0.6355018423841955,0.6055156823114323,0.6201464911558218,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,253,0.6075507879919646,0.6338967089437143,0.6204441927264533,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,254,0.6173220613808852,0.6249995336974485,0.6211370743818921,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,262,0.6193799871152813,0.6361804177083643,0.6276678006241315,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,283,0.6443580216080215,0.624778450730777,0.6344172045017683,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,305,0.656175047175047,0.6172089490706243,0.6360958084400848,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,343,0.6629125574860868,0.6142035126550208,0.6376291566765592,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,346,0.6273805279687632,0.6506872046159752,0.6388213575330568,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,359,0.6618262293262295,0.6223823053410021,0.6414985155817184,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,378,0.6622731647437528,0.6261010117400069,0.643679306932378,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,381,0.6565906723994954,0.6313004384189191,0.6436972440692891,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,388,0.6548970316176198,0.6330768273887635,0.6438020960497564,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,390,0.6596374246668361,0.6355263954025088,0.647357482157991,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,438,0.655968894939483,0.6422561840487769,0.6490401181386133,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,442,0.6687881018763369,0.6369110475371295,0.6524604549796501,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,490,0.6640283855577971,0.6433083311147204,0.6535041616719071,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,503,0.6606695711695709,0.6487957506604638,0.6546788268763711,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,626,0.6673727225933106,0.6447053931460878,0.655843258618837,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,657,0.6596582573200219,0.6543956978863577,0.6570164397817848,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,694,0.6351110398316276,0.6819357357366818,0.6576910133433703,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,731,0.6423739474033592,0.6803327308683361,0.6608086721791404,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,1222,0.675055994658936,0.6475502782849517,0.661017123752693,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,1224,0.6611128517452047,0.6630768411993009,0.6620933900137876,2048,0.0001,100,0.001,0.001,0.1,0.1
2026-03-13 16:13:26,CUB,3483,1242,0.684257377698554,0.6415265300946309,0.6622033328753926,2048,0.0001,100,0.001,0.001,0.1,0.1
